IdSensore,Tipologia,Unità.DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,lng,lat,NomeProvincia
8136,Temperatura,°C,874,Sarnico v. Roma,197,BG,12/04/2001,,N,9.95688896,45.66594103,Bergamo
2384,Radiazione Globale,W/m²,127,Casatenovo tetto,360,LC,10/11/2003,,N,9.30914481,45.70194614,Lecco
17460,Temperatura,°C,1872,Lasnigo s.Alessandro,554,CO,26/09/2018,,N,9.26121361,45.88564351,Como
14255,Radiazione Globale,W/m²,1346,Campodolcino Alpe Motta,1880,SO,17/10/2012,,N,9.36883561,46.42312151,Sondrio
17450,Precipitazione,mm,1871,Tavernola Bergamasca Gallinarga,185,BG,27/11/2018,,N,10.05422004,45.6963302,Bergamo
22576,Temperatura,°C,1955,Magasa Malga Corva,1244,BS,01/06/2023,,N,10.6275831109109,45.7740906088109,Brescia
14501,Umidità Relativa,%,1371,Brembilla,468,BG,19/03/2013,,N,9.60925258,45.81475229,Bergamo
14292,Umidità Relativa,%,1347,Barzio Piani di Bobbio,1713,LC,14/10/2012,,N,9.50113918,45.95949713,Lecco
9110,Precipitazione,mm,1234,Osnago,234,LC,01/01/2004,,N,9.38855728,45.6777065,Lecco
9008,Temperatura,°C,1216,Valbondione,1784,BG,01/12/2000,,N,10.03860694,46.06456797,Bergamo
17545,Umidità Relativa,%,33,Lanzada Ganda,988,SO,28/12/2018,,N,9.884505,46.270224,Sondrio
10666,Precipitazione,mm,1898,Valganna Mondonico,665,VA,18/05/2020,,N,8.8106663,45.91491984,Varese
8011,Umidità Relativa,%,835,Valdisotto Oga S. Colombano,2300,SO,01/01/1992,,N,10.30596404,46.45356516,Sondrio
19403,Precipitazione,mm,1652,Tirano eliporto,481,SO,07/12/2016,,N,10.18226719,46.2181778,Sondrio
8195,Precipitazione,mm,886,Vigevano SS494,94,PV,18/02/2003,,N,8.87967586,45.34142636,Pavia
4051,Umidità Relativa,%,146,Mezzoldo Passo S.Marco,1824,BG,23/05/2003,,N,9.62865186,46.0382628,Bergamo
19363,Temperatura,°C,1559,Dervio v.S.Cecilia,198,LC,05/07/2016,,N,9.30538273,46.06896591,Lecco
14547,Umidità Relativa,%,1376,Puegnago del Garda,291,BS,19/04/2013,,N,10.5003309,45.5798378,Brescia
19410,Radiazione Globale,W/m²,1652,Tirano eliporto,481,SO,07/12/2016,,N,10.18226719,46.2181778,Sondrio
2368,Precipitazione,mm,125,Castello d'Agogna,106,PV,17/10/1990,,N,8.70057165,45.24680044,Pavia
2414,Temperatura,°C,130,Brescia ITAS Pastori,149,BS,01/01/1995,,N,10.26138219,45.52614578,Brescia
17437,Precipitazione,mm,1862,Broni,77,PV,22/03/2018,,N,9.22386082,45.04448039,Pavia
12719,Umidità Relativa,%,1899,Bereguardo Fornasetta,95,PV,11/08/2020,,N,9.02191087,45.26278148,Pavia
14607,Umidità Relativa,%,1380,Tremezzo,309,CO,18/04/2013,,N,9.2140589,45.9877167,Como
48,Precipitazione,mm,35,Caspoggio Piazzo Cavalli,1719,SO,27/10/1989,,N,9.870887,46.249872,Sondrio
2111,Umidità Relativa,%,108,Samolaco v.Vignola,206,SO,27/07/1994,,N,9.42666579,46.23610858,Sondrio
2116,Precipitazione,mm,108,Samolaco v.Vignola,206,SO,27/07/1994,,N,9.42666579,46.23610858,Sondrio
2188,Umidità Relativa,%,114,Landriano Cascina Marianna,88,PV,29/09/2005,,N,9.26715311,45.32059361,Pavia
6986,Precipitazione,mm,679,Valmadrera v.Pozzi,247,LC,21/01/2006,,N,9.35166247,45.84221272,Lecco
19401,Temperatura,°C,1652,Tirano eliporto,481,SO,07/12/2016,,N,10.18226719,46.2181778,Sondrio
8187,Temperatura,°C,905,Cevo,1128,BS,18/06/2003,,N,10.37778231,46.08055608,Brescia
17446,Precipitazione,mm,1692,Bienno Piazze,472,BS,13/07/2018,,N,10.29124095,45.92751023,Brescia
5868,Temperatura,°C,586,Costa Volpino v.Nazionale,192,BG,26/07/1993,,N,10.09707131,45.82716061,Bergamo
