IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,Location
17488,Temperatura,°C,1874,Magenta cascina Mainaga,137,MI,30/10/2018,,N,5033848,488617,8.85440899,45.45806524,POINT (8.85440899 45.45806524)
4069,Radiazione Globale,W/m²,148,Arconate SMR,182,MI,02/07/2002,,N,5043898,488082,8.84732669,45.54852147,POINT (8.84732669 45.54852147)
17501,Radiazione Globale,W/m²,817,Pavia SS 35,71,PV,21/10/2018,,N,5003026,511523,9.14666412,45.18062204,POINT (9.14666412 45.18062204)
6008,Direzione Vento,°,573,Colico v.La Madoneta,229,LC,01/01/1998,,N,5109468,529713,9.38468725,46.1381409,POINT (9.38468725 46.1381409)
9386,Umidità Relativa,%,1221,Casnigo Campo Sportivo,502,BG,18/12/2008,,N,5073453,567252,9.86559107,45.81136488,POINT (9.86559107 45.81136488)
14072,Umidità Relativa,%,1325,Collio Memmo,1069,BS,15/03/2012,,N,5073930,602209,10.31552778,45.81136111,POINT (10.31552778 45.81136111)
14171,Precipitazione,mm,1341,Bosisio Parini Imbarcadero,266,LC,27/10/2012,,N,5072258,522295,9.28691933,45.80353008,POINT (9.28691933 45.80353008)
8197,Precipitazione,mm,911,Lambrugo,273,CO,06/03/2003,,N,5067627,519009,9.24444953,45.76194769,POINT (9.24444953 45.76194769)
9042,Altezza Neve,cm,1220,Ponte di Legno Case Pirli,1640,BS,01/01/2004,,N,5127374,617932,10.5310511,46.28969035,POINT (10.5310511 46.28969035)
2465,Precipitazione,mm,134,Corzano Bargnano,93,BS,03/05/1998,,N,5031659,581271,10.03902737,45.43372847,POINT (10.03902737 45.43372847)
4062,Direzione Vento,°,147,Cinisello Balsamo Parco Nord,142,MI,30/05/2002,,N,5043257,516051,9.20560341,45.54266467,POINT (9.20560341 45.54266467)
19434,Velocità Vento,m/s,1657,Mariano Comense campo sportivo,255,CO,10/10/2017,,N,5059052,513843,9.177773,45.684884,POINT (9.177773 45.684884)
19023,Umidità Relativa,%,1422,Bergamo v.Maffei,249,BG,01/10/2013,,N,5060404,552526,9.67466286,45.69520255,POINT (9.67466286 45.69520255)
17476,Radiazione Globale,W/m²,1420,Gordona,1362,SO,26/09/2018,,N,5126494,526127,9.33920315,46.29151911,POINT (9.33920315 46.29151911)
22026,Umidità Relativa,%,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,5087930,477812,8.71373858,45.94458167,POINT (8.71373858 45.94458167)
2204,Radiazione Globale,W/m²,115,Ispra tetto,193,VA,24/09/2003,04/08/2012,S,5073482,470058,9.701628,45.879961,POINT (9.701628 45.879961)
11011,Umidità Relativa,%,912,Foppolo,1682,BG,22/11/2010,,N,5099046,558502,9.75610761,46.04249594,POINT (9.75610761 46.04249594)
6174,Umidità Relativa,%,620,Milano v.Brera,122,MI,05/12/2002,,N,5035365,514782,9.18911083,45.47165828,POINT (9.18911083 45.47165828)
7046,Temperatura,°C,695,Ponti sul Mincio v.San Martino,113,MN,19/12/2006,,N,5030184,631718,10.68336214,45.41277633,POINT (10.68336214 45.41277633)
9030,Temperatura,°C,1218,Ardesio Valcanale,1002,BG,01/01/2004,,N,5088916,566917,9.863434,45.95056364,POINT (9.863434 45.95056364)
2401,Umidità Relativa,%,129,Capo di Ponte v.Briscioli,362,BS,30/10/2002,,N,5097875,603903,10.3425026,46.02656354,POINT (10.3425026 46.02656354)
6795,Temperatura,°C,653,Brescia v.Ziziola,125,BS,17/10/1997,,N,5040836,595170,10.21846492,45.51456611,POINT (10.21846492 45.51456611)
32357,Radiazione Globale,W/m²,1807,Ispra JRC,249,VA,21/04/2022,,N,5072552,471760,8.6365627,45.80595188,POINT (8.6365627 45.80595188)
6421,Umidità Relativa,%,629,Crema v.XI febbraio,79,CR,01/01/2002,,N,5023885,555127,9.70395139,45.36631075,POINT (9.70395139 45.36631075)
14664,Precipitazione,mm,1383,Sarezzo v.della Fonte,290,BS,02/11/2012,,N,5057824,592468,10.1870962,45.66779897,POINT (10.1870962 45.66779897)
6060,Direzione Vento,°,513,Trezzo sull'Adda v.Nenni,199,MI,22/02/2001,,N,5051253,539618,9.508134,45.61370028,POINT (9.508134 45.61370028)
2385,Precipitazione,mm,127,Casatenovo tetto,360,LC,10/11/2003,,N,5060979,524066,9.30914481,45.70194614,POINT (9.30914481 45.70194614)
14569,Umidità Relativa,%,1378,Tignale Oldesio,374,BS,23/07/2013,,N,5065781,633895,10.7209063,45.7326393,POINT (10.7209063 45.7326393)
9786,Radiazione Globale,W/m²,847,Carona Carisole,1954,BG,01/07/1993,,N,5098634,561423,9.79379959,46.03852339,POINT (9.79379959 46.03852339)
6187,Umidità Relativa,%,567,Chiavenna v.Cerletti,333,SO,17/12/1999,21/10/2010,S,5129768,530454,9.39559186,46.32081378,POINT (9.39559186 46.32081378)
2110,Temperatura,°C,108,Samolaco v.Vignola,206,SO,27/07/1994,,N,5120369,532896,9.42666579,46.23610858,POINT (9.42666579 46.23610858)
8107,Livello Idrometrico,cm,853,Idro SS 237,388,BS,01/01/1998,,N,5065944,613772,10.46242047,45.7377015,POINT (10.46242047 45.7377015)
11742,Velocità Vento,m/s,1075,Edolo Centrale ENEL,659,BS,01/01/1998,,N,5113706,603479,10.34047351,46.1690708,POINT (10.34047351 46.1690708)
10378,Direzione Vento,°,706,Lecco v.Sora,272,LC,22/07/2008,,N,5078987,531045,9.39995481,45.86375372,POINT (9.39995481 45.86375372)
8382,Livello Idrometrico,cm,870,Como viale Geno,200,CO,24/07/1998,,N,5074080,506207,9.07990936,45.82025397,POINT (9.07990936 45.82025397)
32407,Direzione Vento,°,1680,Vilminore di Scalve Presolana,1856,BG,15/11/2017,,N,5092483,580679,10.041578,45.98117244,POINT (10.041578 45.98117244)
121,Temperatura,°C,60,Villa di Chiavenna,665,SO,20/11/2002,,N,5131062,539410,9.51204364,46.33199472,POINT (9.51204364 46.33199472)
2447,Temperatura,°C,133,Bema,958,SO,01/01/1993,,N,5105929,544001,9.5693423,46.10552765,POINT (9.5693423 46.10552765)
19396,Direzione Vento,°,1650,Bormio eliporto,1172,SO,30/09/2016,,N,5145365,604906,10.36603171,46.45370081,POINT (10.36603171 46.45370081)
14715,Velocità Vento,m/s,1545,San Siro Alpe Rescascìa,1285,CO,30/12/2014,,N,5102069,518430,9.2383327,46.0719452,POINT (9.2383327 46.0719452)
4027,Umidità Relativa,%,143,Livigno Passo Foscagno,2320,SO,02/06/2002,,N,5149692,592662,10.20748854,46.49442378,POINT (10.20748854 46.49442378)
19373,Precipitazione,mm,620,Milano v.Brera,122,MI,11/07/2016,,N,5035365,514782,9.18911083,45.47165828,POINT (9.18911083 45.47165828)
2390,Radiazione Globale,W/m²,128,Capralba,96,CR,21/07/1998,10/02/2012,S,5032570,550482,9.132164,46.088243,POINT (9.132164 46.088243)
6834,Temperatura,°C,657,Lonato del Garda v.del Marchesino,180,BS,01/01/1990,,N,5035536,615762,10.48078183,45.46375819,POINT (10.48078183 45.46375819)
17429,Radiazione Globale,W/m²,1862,Broni,77,PV,22/03/2018,,N,4987916,517630,9.22386082,45.04448039,POINT (9.22386082 45.04448039)
9015,Temperatura,°C,1229,Gandellino Grabiasca,738,BG,01/01/2004,,N,5095336,573386,9.94787769,46.00767519,POINT (9.94787769 46.00767519)
14640,Direzione Vento,°,1233,Lurago Marinone,296,CO,13/02/2013,,N,5061268,499092,8.98833547,45.70496503,POINT (8.98833547 45.70496503)
10551,Temperatura,°C,554,Saronno v.Santuario,212,VA,06/07/2010,,N,5052646,502058,9.02640138,45.62735705,POINT (9.02640138 45.62735705)
11228,Radiazione Globale,W/m²,1075,Edolo Centrale ENEL,659,BS,20/12/2011,,N,5113706,603479,10.34047351,46.1690708,POINT (10.34047351 46.1690708)
2612,Umidità Relativa,%,212,Canzo,1233,CO,26/11/2008,,N,5077224,524701,9.31813681,45.84814356,POINT (9.31813681 45.84814356)
6084,Direzione Vento,°,559,Somma Lombardo v.Facchinetti,210,VA,20/03/2000,30/10/2020,S,5055150,477613,8.71269853,45.64954097,POINT (8.71269853 45.64954097)
14451,Radiazione Globale,W/m²,1366,Porlezza torrente,291,CO,12/12/2012,,N,5098254,510895,9.14079938,46.03777316,POINT (9.14079938 46.03777316)
2377,Precipitazione,mm,126,Casatenovo prato,360,LC,26/04/2002,30/10/2017,S,5060979,524066,9.30914781,45.70195333,POINT (9.30914781 45.70195333)
14782,Direzione Vento,°,1555,Manerba del Garda Dusano,73,BS,09/05/2017,,N,5044545,622300,10.56663509,45.543701,POINT (10.56663509 45.543701)
14595,Direzione Vento,°,1379,Gargnano,984,BS,15/07/2015,,N,5065317,625847,10.61740677,45.72996009,POINT (10.61740677 45.72996009)
9104,Precipitazione,mm,1229,Gandellino Grabiasca,738,BG,01/01/2004,,N,5095336,573386,9.94787769,46.00767519,POINT (9.94787769 46.00767519)
9933,Precipitazione,mm,677,Cremona Via Fatebenefratelli,43,CR,10/04/2006,,N,4999315,582066,10.04384767,45.14254358,POINT (10.04384767 45.14254358)
9077,Direzione Vento,°,1202,Vercana,980,CO,15/01/2005,,N,5114303,525058,9.32468906,46.18185467,POINT (9.32468906 46.18185467)
2408,Precipitazione,mm,129,Capo di Ponte v.Briscioli,362,BS,30/10/2002,,N,5097875,603903,10.3425026,46.02656354,POINT (10.3425026 46.02656354)
11021,Umidità Relativa,%,1224,Cortenova,456,LC,22/12/2010,,N,5094947,529451,9.38040375,46.00746603,POINT (9.38040375 46.00746603)
9116,Precipitazione,mm,1206,Cavaria con Premezzo v. Cantalupa,274,VA,01/01/2004,,N,5059567,485026,8.80769797,45.68949617,POINT (8.80769797 45.68949617)
14411,Direzione Vento,°,1365,Bione,911,BS,18/11/2012,,N,5057931,603395,10.32736288,45.66721826,POINT (10.32736288 45.66721826)
19390,Precipitazione,mm,1650,Bormio eliporto,1172,SO,12/01/2017,,N,5145365,604906,10.36603171,46.45370081,POINT (10.36603171 46.45370081)
9103,Precipitazione,mm,1237,Monno,1728,BS,11/10/2004,,N,5122691,600885,10.308807,46.25030272,POINT (10.308807 46.25030272)
4006,Direzione Vento,°,140,Motta Visconti SMR,100,MI,15/05/2003,25/08/2020,S,5014273,499103,9.363781,46.134414,POINT (9.363781 46.134414)
2082,Temperatura,°C,106,Varzi Nivione,500,PV,15/05/2001,,N,4961571,514194,9.17949163,44.80739989,POINT (9.17949163 44.80739989)
8124,Livello Idrometrico,cm,867,Caslino d'Erba v. 4 novembre,427,CO,24/07/1998,,N,5075784,518046,9.23237261,45.83539031,POINT (9.23237261 45.83539031)
11216,Temperatura,°C,1202,Vercana,980,CO,11/11/2011,,N,5114303,525058,9.32468906,46.18185467,POINT (9.32468906 46.18185467)
11761,Velocità Vento,m/s,900,Chiari,140,BS,19/05/2004,,N,5041392,573236,9.93777821,45.52222206,POINT (9.93777821 45.52222206)
5883,Temperatura,°C,575,Nibionno v.della Chiesa,310,LC,03/12/2002,30/11/2021,S,5066429,520613,9.26502439,45.75111892,POINT (9.26502439 45.75111892)
14385,Radiazione Globale,W/m²,1360,Clusone SP 671,564,BG,14/11/2012,,N,5081243,572409,9.93314133,45.88094706,POINT (9.93314133 45.88094706)
14310,Livello Idrometrico,cm,1351,Salerano sul Lambro SP115,74,LO,16/11/2012,,N,5016386,529850,9.38073919,45.30034622,POINT (9.38073919 45.30034622)
